Date,Close/Last,Volume,Open,High,Low
11/03/2025,$269.05,50194580,$270.42,$270.85,$266.25
10/31/2025,$270.37,86167120,$276.99,$277.32,$269.16
10/30/2025,$271.40,69886530,$271.99,$274.14,$268.48
10/29/2025,$269.70,51086740,$269.275,$271.41,$267.11
10/28/2025,$269.00,41534760,$268.985,$269.89,$268.15
10/27/2025,$268.81,44888150,$264.88,$269.12,$264.6501
10/24/2025,$262.82,38253720,$261.19,$264.13,$259.18
10/23/2025,$259.58,32754940,$259.94,$260.62,$258.0101
10/22/2025,$258.45,45015250,$262.65,$262.85,$255.43
10/21/2025,$262.77,46695950,$261.88,$265.29,$261.83
10/20/2025,$262.24,90483030,$255.885,$264.375,$255.63
10/17/2025,$252.29,49146960,$248.02,$253.38,$247.27
10/16/2025,$247.45,39776970,$248.25,$249.04,$245.13
10/15/2025,$249.34,33893610,$249.485,$251.82,$247.47
10/14/2025,$247.77,35477990,$246.60,$248.845,$244.70
10/13/2025,$247.66,38142940,$249.38,$249.69,$245.56
10/10/2025,$245.27,61999100,$254.94,$256.38,$244.00
10/09/2025,$254.04,38322010,$257.805,$258.00,$253.14
10/08/2025,$258.06,36496900,$256.52,$258.52,$256.11
10/07/2025,$256.48,31955780,$256.805,$257.40,$255.43
10/06/2025,$256.69,44664120,$257.99,$259.07,$255.05
